name,occupation,marriage_no,partner_name,duration_years,currently_married,partner_occupation
David Schweikert,Politician,1,Joyce Schweikert,15,True,Unknown
Ruben Gallego,Politician,1,Kate Widland,7,False,Unknown
Ruben Gallego,Politician,2,Sydney Barron,0,True,Unknown
Greg Stanton,Politician,1,Nicole Stanton,16,True,Unknown
John Garamendi,Politician,1,Patricia Wilkinson,56,True,Unknown
Tom McClintock,Politician,1,Lori McClintock,34,True,Unknown
Doris Matsui,Politician,1,Bob Matsui,39,False,Unknown
Doris Matsui,Politician,2,Roger Sant,1,True,Unknown
Ami Bera,Politician,1,Janine Bera,30,True,Unknown
Jay Obernolte,Politician,1,Heather Obernolte,25,True,Unknown
Jerry McNerney,Politician,1,Mary Martine,44,True,Unknown
Josh Harder,Politician,1,Pamela Sud,3,True,Unknown
Nancy Pelosi,Politician,1,Paul Pelosi,58,True,Unknown
Barbara Lee,Politician,1,Clyde Oden,2,True,Unknown
Jackie Speier,Politician,1,Steve Sierra,7,False,Unknown
Jackie Speier,Politician,2,Barry Dennis,20,True,Unknown
Eric Swalwell,Politician,1,Brittany Watts,5,True,Unknown
Ro Khanna,Politician,1,Ritu Ahuja,6,True,Unknown
Zoe Lofgren,Politician,1,John Collins,43,True,Unknown
David Valadao,Politician,1,Terra Valadao,22,True,Unknown
Devin Nunes,Politician,1,Elizabeth Tamariz,18,True,Unknown
Judy Chu,Politician,1,Mike Eng,43,True,Unknown
Adam Schiff,Politician,1,Eve Sanderson,26,True,Unknown
Brad Sherman,Politician,1,Lisa Kaplan,15,True,Unknown
Grace Napolitano,Politician,1,Frank Napolitano,37,False,Unknown
Ted Lieu,Politician,1,Betty Lieu,19,True,Unknown
Jimmy Gomez,Politician,1,Mary Hodge,10,True,Politician
Karen Bass,Politician,1,Jesus Lechuga,6,False,Unknown
Linda Sánchez,Politician,1,James Sullivan,12,True,Unknown
Young Kim,Politician,1,Charles Kim,35,True,Unknown
Maxine Waters,Politician,1,Edward Waters,16,False,Unknown
Maxine Waters,Politician,2,Sid Williams,44,True,Politician
Katie Porter,Politician,1,Matthew Hoffman,10,False,Unknown
Lou Correa,Politician,1,Esther Correa,31,True,Unknown
Michelle Steel,Politician,1,Shawn Steel,40,True,Politician
Mike Levin,Politician,1,Chrissy Parker Levin,10,True,Unknown
Darrell Issa,Politician,1,Kathy Stanton,41,True,Politician
Juan Vargas,Politician,1,Adrienne D'Ascoli,31,True,Unknown
Diana DeGette,Politician,1,Lino Lipinsky,36,True,Unknown
Lauren Boebert,Unknown,1,Jayson Boebert,16,True,Unknown
Ken Buck,Politician,1,Dayna Roane,10,False,Unknown
Ken Buck,Politician,2,Perry Buck,22,False,Politician
Doug Lamborn,Politician,1,Jeanie Lamborn,44,True,Unknown
Ed Perlmutter,Politician,1,Deana Perlmutter,27,False,Unknown
Ed Perlmutter,Politician,2,Nancy Henderson,11,True,Unknown
John Larson,Politician,1,Leslie Best,40,True,Unknown
Rosa DeLauro,Politician,1,Stan Greenberg,43,True,Unknown
Jim Himes,Politician,1,Mary Scott,27,True,Unknown
Lisa Blunt Rochester,Politician,1,Alex Bradley,21,False,Unknown
Lisa Blunt Rochester,Politician,2,Charles Rochester,8,False,Unknown
Neal Dunn,Politician,1,Leah Dunn,34,True,Unknown
Kat Cammack,Politician,1,Matthew Harrison,4,True,Unknown
Bill Posey,Politician,1,Katie Ingram,54,True,Unknown
Darren Soto,Politician,1,Amanda Soto,8,True,Unknown
Val Demings,Unknown,1,Jerry Demings,33,True,Politician
Gus Bilirakis,Politician,1,Eva Lialios,30,True,Unknown
Charlie Crist,Politician,1,Amanda Morrow,1,False,Unknown
Charlie Crist,Politician,2,Carole Oumano,9,False,Unknown
Vern Buchanan,Politician,1,Sandy Buchanan,45,True,Unknown
