name,occupation,marriage_no,partner_name,duration_years,currently_married,partner_occupation
Dyan Cannon,Unknown,1,Cary Grant,3,False,Unknown
Dyan Cannon,Unknown,2,Stanley Fimberg,6,False,Unknown
Steve Carell,Unknown,1,Nancy Walls,26,True,Unknown
Lynn Carlin,Unknown,1,Peter Hall,2,False,Unknown
Lynn Carlin,Unknown,2,Ed Carlin,11,False,Unknown
Lynn Carlin,Unknown,3,John Wolfe,16,False,Unknown
Leslie Caron,Unknown,1,Geordie Hormel,3,False,Unknown
Leslie Caron,Unknown,2,Peter Hall,9,False,Unknown
Leslie Caron,Unknown,3,Michael Laughlin,11,False,Unknown
Keisha Castle-Hughes,Unknown,1,Jonathan Morrison,3,False,Unknown
Keisha Castle-Hughes,Unknown,2,Donny Grahamer,0,True,Unknown
Stockard Channing,Unknown,1,Walter Channing Jr.,4,False,Unknown
Stockard Channing,Unknown,2,Paul Schmidt,6,False,Unknown
Stockard Channing,Unknown,3,David Debin,4,False,Unknown
Stockard Channing,Unknown,4,David Rawle,8,False,Unknown
Jessica Chastain,Unknown,1,Gian Luca Passi de Preposulo,4,True,Unknown
Don Cheadle,Unknown,1,Bridgid Coulter,1,True,Unknown
Cher,Unknown,1,Sonny Bono,6,False,Unknown
Cher,Unknown,2,Gregg Allman,4,False,Unknown
Candy Clark,Unknown,1,Marjoe Gortner,1,False,Unknown
Candy Clark,Unknown,2,Jeff Wald,1,False,Unknown
George Clooney,Unknown,1,Talia Balsam,4,False,Unknown
George Clooney,Unknown,2,Amal Alamuddin,7,True,Unknown
Glenn Close,Unknown,1,Cabot Wade,2,False,Unknown
Glenn Close,Unknown,2,James Marlas,3,False,Unknown
Glenn Close,Unknown,3,David Evans Shaw,9,False,Unknown
Toni Collette,Unknown,1,Dave Galafassi,18,True,Unknown
Pauline Collins,Unknown,1,John Alderton,52,True,Unknown
Olivia Colman,Unknown,1,Ed Sinclair,20,True,Unknown
Jennifer Connelly,Unknown,1,Paul Bettany,18,True,Unknown
Tom Conti,Unknown,1,Kara Wilson,54,True,Unknown
Bradley Cooper,Unknown,1,Jennifer Esposito,1,False,Unknown
Chris Cooper,Unknown,1,Marianne Leone,38,True,Unknown
Kevin Costner,Unknown,1,Cindy Silva,16,False,Unknown
Kevin Costner,Unknown,2,Christine Baumgartner,17,True,Unknown
Bryan Cranston,Unknown,1,Mickey Middleton,5,False,Unknown
Bryan Cranston,Unknown,2,Robin Dearden,32,True,Unknown
James Cromwell,Unknown,1,Anne Ulvestad,9,False,Unknown
James Cromwell,Unknown,2,Julie Cobb,19,False,Unknown
James Cromwell,Unknown,3,Anna Stuart,7,True,Unknown
Lindsay Crouse,Unknown,1,David Mamet,13,False,Unknown
Lindsay Crouse,Unknown,2,Rick Blue,23,True,Unknown
Russell Crowe,Unknown,1,Danielle Spencer,15,False,Unknown
Tom Cruise,Unknown,1,Mimi Rogers,3,False,Unknown
Tom Cruise,Unknown,2,Nicole Kidman,11,False,Unknown
Tom Cruise,Unknown,3,Katie Holmes,6,False,Unknown
Penélope Cruz,Unknown,1,Javier Bardem,11,True,Unknown
Benedict Cumberbatch,Unknown,1,Sophie Hunter,6,True,Unknown
Joan Cusack,Unknown,1,Richard Burke,25,True,Unknown
Willem Dafoe,Unknown,1,Giada Colagrande,16,True,Unknown
Matt Damon,Unknown,1,Luciana Bozán Barroso,16,True,Unknown
Geena Davis,Unknown,1,Richard Emmolo,3,False,Unknown
Geena Davis,Unknown,2,Jeff Goldblum,4,False,Unknown
Geena Davis,Unknown,3,Renny Harlin,5,False,Unknown
Judy Davis,Unknown,1,Colin Friels,37,True,Unknown
Viola Davis,Unknown,1,Julius Tennon,18,True,Unknown
Daniel Day-Lewis,Unknown,1,Rebecca Miller,25,True,Unknown
Robert De Niro,Unknown,1,Diahnne Abbott,12,False,Unknown
Robert De Niro,Unknown,2,Grace Hightower,21,False,Unknown
Judi Dench,Unknown,1,Michael Williams,30,False,Unknown
Catherine Deneuve,Unknown,1,David Bailey,7,False,Unknown
Gérard Depardieu,Unknown,1,Élisabeth Guignot,25,False,Unknown
Johnny Depp,Unknown,1,Lori Allison,2,False,Unknown
Johnny Depp,Unknown,2,Amber Heard,2,False,Unknown
Laura Dern,Unknown,1,Ben Harper,8,False,Unknown
Melinda Dillon,Unknown,1,Richard Libertini,15,False,Unknown
Michael Douglas,Unknown,1,Diandra Luker,23,False,Unknown
Michael Douglas,Unknown,2,Catherine Zeta-Jones,21,True,Unknown
Robert Downey Jr.,Unknown,1,Deborah Falconer,12,False,Unknown
Robert Downey Jr.,Unknown,2,Susan Levin,16,True,Unknown
Richard Dreyfuss,Unknown,1,Jeramie Rain,12,False,Unknown
Richard Dreyfuss,Unknown,2,Janelle Lacey,6,False,Unknown
Richard Dreyfuss,Unknown,3,Svetlana Erokhin,15,True,Unknown
Adam Driver,Unknown,1,Joanne Tucker,8,True,Unknown
Faye Dunaway,Unknown,1,Peter Wolf,5,False,Unknown
Faye Dunaway,Unknown,2,Terry O'Neill,4,False,Unknown
Robert Duvall,Unknown,1,Barbara Benjamin Marcus,17,False,Unknown
Robert Duvall,Unknown,2,Gail Youngs,4,False,Unknown
Robert Duvall,Unknown,3,Sharon Brophy,4,False,Unknown
Robert Duvall,Unknown,4,Luciana Pedraza,16,True,Unknown
Clint Eastwood,Unknown,1,Maggie Johnson,31,False,Unknown
Clint Eastwood,Unknown,2,Dina Ruiz,18,False,Unknown
Samantha Eggar,Unknown,1,Tom Stern,7,False,Unknown
Jesse Eisenberg,Unknown,1,Anna Strout,4,True,Unknown
Sam Elliott,Unknown,1,Katharine Ross,37,True,Unknown
Vera Farmiga,Unknown,1,Sebastian Roché,7,False,Unknown
Vera Farmiga,Unknown,2,Renn Hawkey,13,True,Unknown
Michael Fassbender,Unknown,1,Alicia Vikander,4,True,Unknown
Sally Field,Unknown,1,Steve Craig,7,False,Unknown
Sally Field,Unknown,2,Alan Greisman,10,False,Unknown
Ralph Fiennes,Unknown,1,Alex Kingston,4,False,Unknown
Louise Fletcher,Unknown,1,Jerry Bick,17,False,Unknown
Jane Fonda,Unknown,1,Roger Vadim,8,False,Unknown
Jane Fonda,Unknown,2,Tom Hayden,17,False,Unknown
Jane Fonda,Unknown,3,Ted Turner,10,False,Unknown
Harrison Ford,Unknown,1,Mary Marquardt,15,False,Unknown
Harrison Ford,Unknown,2,Melissa Mathison,21,False,Unknown
Harrison Ford,Unknown,3,Calista Flockhart,11,True,Unknown
Frederic Forrest,Unknown,1,Nancy Ann Whittaker,3,False,Unknown
Frederic Forrest,Unknown,2,Marilu Henner,3,False,Unknown
Jodie Foster,Unknown,1,Alexandra Hedison,7,True,Unknown
Morgan Freeman,Unknown,1,Jeanette Adair Bradshaw,12,False,Unknown
Morgan Freeman,Unknown,2,Myrna Colley-Lee,26,False,Unknown
Brenda Fricker,Unknown,1,Barry Davies,9,False,Unknown
Andy García,Unknown,1,Marivi Lorido García,39,True,Unknown
Teri Garr,Unknown,1,John O'Neil,3,False,Unknown
Paul Giamatti,Unknown,1,Elizabeth Cohen,24,True,Unknown
Giancarlo Giannini,Unknown,1,Livia Giampalmo,8,False,Unknown
Giancarlo Giannini,Unknown,2,Eurilla del Bono,38,True,Unknown
Whoopi Goldberg,Unknown,1,Alvin Martin,6,False,Unknown
Whoopi Goldberg,Unknown,2,David Claessen,2,False,Unknown
Whoopi Goldberg,Unknown,3,Lyle Trachtenberg,1,False,Unknown
Elliott Gould,Unknown,1,Barbra Streisand,8,False,Unknown
Elliott Gould,Unknown,2,Jennifer Bogart,2,False,Unknown
Elliott Gould,Unknown,3,Jennifer Bogart,11,False,Unknown
Lee Grant,Unknown,1,Arnold Manoff,9,False,Unknown
Lee Grant,Unknown,2,Joseph Feury,51,True,Unknown
Richard E. Grant,Unknown,1,Joan Washington,35,True,Unknown
Joel Grey,Unknown,1,Jo Wilder,24,False,Unknown
Rachel Griffiths,Unknown,1,Andrew Taylor,19,True,Unknown
Maggie Gyllenhaal,Unknown,1,Peter Sarsgaard,12,True,Unknown
Gene Hackman,Unknown,1,Faye Maltese,30,False,Unknown
Gene Hackman,Unknown,2,Betsy Arakawa,30,True,Unknown
Tom Hanks,Unknown,1,Samantha Lewes,9,False,Unknown
Tom Hanks,Unknown,2,Rita Wilson,33,True,Unknown
Marcia Gay Harden,Unknown,1,Thaddaeus Scheel,16,False,Unknown
Tom Hardy,Unknown,1,Sarah Ward,5,False,Unknown
Tom Hardy,Unknown,2,Charlotte Riley,7,True,Unknown
Woody Harrelson,Unknown,1,Nancy Simon,1,False,Unknown
Woody Harrelson,Unknown,2,Laura Louie,13,True,Unknown
Ed Harris,Unknown,1,Amy Madigan,38,True,Unknown
Rosemary Harris,Unknown,1,Ellis Rabb,8,False,Unknown
Rosemary Harris,Unknown,2,John Ehle,51,False,Unknown
Anne Hathaway,Unknown,1,Adam Shulman,9,True,Unknown
Ethan Hawke,Unknown,1,Uma Thurman,7,False,Unknown
Ethan Hawke,Unknown,2,Ryan Shawhughes,13,True,Unknown
Goldie Hawn,Unknown,1,Gus Trikonis,7,False,Unknown
Goldie Hawn,Unknown,2,Bill Hudson,6,False,Unknown
Salma Hayek,Unknown,1,François-Henri Pinault,12,True,Unknown
Mariel Hemingway,Unknown,1,Stephen Crisman,25,False,Unknown
Barbara Hershey,Unknown,1,Stephen Douglas,1,False,Unknown
Judd Hirsch,Unknown,1,Elisa Sadaune,11,False,Unknown
Judd Hirsch,Unknown,2,Bonni Sue Chalkin,13,False,Unknown
Dustin Hoffman,Unknown,1,Anne Byrne,11,False,Unknown
Dustin Hoffman,Unknown,2,Lisa Gottsegen,41,True,Unknown
Anthony Hopkins,Unknown,1,Petronella Barker,6,False,Unknown
Anthony Hopkins,Unknown,2,Jennifer Lynton,29,False,Unknown
Anthony Hopkins,Unknown,3,Stella Arroyave,18,True,Unknown
Kate Hudson,Unknown,1,Chris Robinson,7,False,Unknown
Felicity Huffman,Unknown,1,William H. Macy,24,True,Unknown
Helen Hunt,Unknown,1,Hank Azaria,1,False,Unknown
Linda Hunt,Unknown,1,Karen Kline,13,True,Unknown
Holly Hunter,Unknown,1,Janusz Kamiński,6,False,Unknown
William Hurt,Unknown,1,Mary Beth Hurt,11,False,Unknown
William Hurt,Unknown,2,Heidi Henderson,3,False,Unknown
Anjelica Huston,Unknown,1,Robert Graham,16,False,Unknown
Jeremy Irons,Unknown,1,Julie Hallam,0,False,Unknown
Jeremy Irons,Unknown,2,Sinéad Cusack,43,True,Unknown
Amy Irving,Unknown,1,Steven Spielberg,4,False,Unknown
Amy Irving,Unknown,2,Bruno Barreto,9,False,Unknown
Amy Irving,Unknown,3,Kenneth Bowser,14,True,Unknown
Hugh Jackman,Unknown,1,Deborra-Lee Furness,25,True,Unknown
Glenda Jackson,Politician,1,Roy Hodges,18,False,Unknown
Samuel L. Jackson,Unknown,1,LaTanya Richardson,41,True,Unknown
Marianne Jean-Baptiste,Unknown,1,Evan Williams,24,True,Unknown
Richard Jenkins,Unknown,1,Sharon R. Friedrick,52,True,Unknown
Scarlett Johansson,Unknown,1,Ryan Reynolds,3,False,Unknown
Scarlett Johansson,Unknown,2,Romain Dauriac,3,False,Unknown
Scarlett Johansson,Unknown,3,Colin Jost,1,True,Unknown
Angelina Jolie,Unknown,1,Jonny Lee Miller,3,False,Unknown
Angelina Jolie,Unknown,2,Billy Bob Thornton,3,False,Unknown
Angelina Jolie,Unknown,3,Brad Pitt,5,False,Unknown
Felicity Jones,Unknown,1,Charles Guard,3,True,Unknown
James Earl Jones,Unknown,1,Julienne Marie,4,False,Unknown
James Earl Jones,Unknown,2,Cecilia Hart,34,False,Unknown
Shirley Jones,Unknown,1,Jack Cassidy,19,False,Unknown
Shirley Jones,Unknown,2,Marty Ingels,38,False,Unknown
Tommy Lee Jones,Unknown,1,"Katherine ""Kate"" Lardner",7,False,Unknown
Tommy Lee Jones,Unknown,2,Kimberlea Cloughley,15,False,Unknown
Tommy Lee Jones,Unknown,3,Dawn Laurel,20,True,Unknown
Michael Keaton,Unknown,1,Caroline McWilliams,8,False,Unknown
Catherine Keener,Unknown,1,Dermot Mulroney,17,False,Unknown
Harvey Keitel,Unknown,1,Daphna Kastner,20,True,Unknown
Sally Kellerman,Unknown,1,Rick Edelstein,2,False,Unknown
Sally Kellerman,Unknown,2,Jonathan D. Krane,36,False,Unknown
Nicole Kidman,Unknown,1,Tom Cruise,11,False,Unknown
Nicole Kidman,Unknown,2,Keith Urban,15,True,Unknown
Rinko Kikuchi,Unknown,1,Shōta Sometani,7,True,Unknown
Regina King,Unknown,1,Ian Alexander,10,False,Unknown
Ben Kingsley,Unknown,1,Angela Morant,10,False,Unknown
Ben Kingsley,Unknown,2,Alison Sutcliffe,14,False,Unknown
Ben Kingsley,Unknown,3,Alexandra Christmann,2,False,Unknown
Ben Kingsley,Unknown,4,Daniela Lavender,14,True,Unknown
Greg Kinnear,Unknown,1,Helen Labdon,22,True,Unknown
Kevin Kline,Unknown,1,Phoebe Cates Kline,32,True,Unknown
Keira Knightley,Unknown,1,James Righton,8,True,Unknown
Susan Kohner,Unknown,1,John Weitz,38,False,Unknown
Christine Lahti,Unknown,1,Thomas Schlamme,38,True,Unknown
Diane Lane,Unknown,1,Christopher Lambert,6,False,Unknown
Diane Lane,Unknown,2,Josh Brolin,9,False,Unknown
Jessica Lange,Unknown,1,Paco Grande,12,False,Unknown
Frank Langella,Unknown,1,Ruth Weil,19,False,Unknown
Angela Lansbury,Unknown,1,Richard Cromwell,1,False,Unknown
Angela Lansbury,Unknown,2,Peter Shaw,54,False,Unknown
Piper Laurie,Unknown,1,Joe Morgenstern,20,False,Unknown
Jude Law,Unknown,1,Sadie Frost,6,False,Unknown
Jude Law,Unknown,2,Phillipa Coan,2,True,Unknown
Jennifer Lawrence,Unknown,1,Cooke Maroney,2,True,Unknown
Jennifer Jason Leigh,Unknown,1,Noah Baumbach,8,False,Unknown
Juliette Lewis,Unknown,1,Steve Berra,4,False,Unknown
Laura Linney,Unknown,1,David Adkins,5,False,Unknown
Laura Linney,Unknown,2,Marc Schauer,12,True,Unknown
John Lithgow,Unknown,1,Jean Taynton,14,False,Unknown
John Lithgow,Unknown,2,Mary Yeager,40,True,Unknown
Ali MacGraw,Unknown,1,Robin Hoen,1,False,Unknown
Ali MacGraw,Unknown,2,Robert Evans,3,False,Unknown
Ali MacGraw,Unknown,3,Steve McQueen,5,False,Unknown
Shirley MacLaine,Unknown,1,Steve Parker,28,False,Unknown
William H. Macy,Unknown,1,Felicity Huffman,24,True,Unknown
Amy Madigan,Unknown,1,Ed Harris,38,True,Unknown
Virginia Madsen,Unknown,1,Danny Huston,3,False,Unknown
Virginia Madsen,Unknown,2,Nick Holmes,1,True,Unknown
John Malkovich,Unknown,1,Glenne Headly,6,False,Unknown
Lesley Manville,Unknown,1,Gary Oldman,3,False,Unknown
Lesley Manville,Unknown,2,Joe Dixon,4,False,Unknown
Marsha Mason,Unknown,1,Gary Campbell,5,False,Unknown
Marsha Mason,Unknown,2,Neil Simon,10,False,Unknown
Marlee Matlin,Unknown,1,Kevin Grandalski,28,True,Unknown
Melissa McCarthy,Unknown,1,Ben Falcone,16,True,Unknown
Matthew McConaughey,Unknown,1,Camila Alves,9,True,Unknown
Patty McCormack,Unknown,1,Bob Catania,6,False,Unknown
Mary McDonnell,Unknown,1,Randle Mell,37,True,Unknown
Frances McDormand,Unknown,1,Joel Coen,37,True,Unknown
Elizabeth McGovern,Unknown,1,Simon Curtis,29,True,Unknown
Janet McTeer,Unknown,1,Joseph Coleman,11,True,Unknown
Laurie Metcalf,Unknown,1,Jeff Perry,3,False,Unknown
Laurie Metcalf,Unknown,2,Matt Roth,21,False,Unknown
Bette Midler,Unknown,1,Martin von Haselberg,37,True,Unknown
Sarah Miles,Unknown,1,Robert Bolt,9,False,Unknown
Sarah Miles,Unknown,2,Robert Bolt,7,False,Unknown
Liza Minnelli,Unknown,1,Peter Allen,7,False,Unknown
Liza Minnelli,Unknown,2,Jack Haley Jr.,5,False,Unknown
Liza Minnelli,Unknown,3,Mark Gero,13,False,Unknown
Liza Minnelli,Unknown,4,David Gest,5,False,Unknown
Helen Mirren,Unknown,1,Taylor Hackford,24,True,Unknown
Fernanda Montenegro,Unknown,1,Fernando Torres,55,False,Unknown
Julianne Moore,Unknown,1,John Gould Rubin,9,False,Unknown
Julianne Moore,Unknown,2,Bart Freundlich,18,True,Unknown
Rita Moreno,Unknown,1,Leonard Gordon,45,False,Unknown
Viggo Mortensen,Unknown,1,Exene Cervenka,11,False,Unknown
Carey Mulligan,Unknown,1,Marcus Mumford,9,True,Unknown
Eddie Murphy,Unknown,1,Nicole Mitchell,13,False,Unknown
Bill Murray,Unknown,1,Margaret Kelly,15,False,Unknown
Bill Murray,Unknown,2,Jennifer Butler,11,False,Unknown
Liam Neeson,Unknown,1,Natasha Richardson,15,False,Unknown
Kate Nelligan,Unknown,1,Robert Reale,11,False,Unknown
Jack Nicholson,Unknown,1,Sandra Knight,6,False,Unknown
Nick Nolte,Unknown,1,Sheila Page,4,False,Unknown
Nick Nolte,Unknown,2,Sharyn Haddad,5,False,Unknown
Nick Nolte,Unknown,3,Rebecca Linger,10,False,Unknown
Nick Nolte,Unknown,4,Clytie Lane,5,True,Unknown
Edward Norton,Unknown,1,Shauna Robertson,9,True,Unknown
Ryan O'Neal,Unknown,1,Joanna Moore,4,False,Unknown
Ryan O'Neal,Unknown,2,Leigh Taylor-Young,4,False,Unknown
Tatum O'Neal,Unknown,1,John McEnroe,8,False,Unknown
Leslie Odom Jr.,Unknown,1,Nicolette Robinson,9,True,Unknown
Gary Oldman,Unknown,1,Lesley Manville,3,False,Unknown
Gary Oldman,Unknown,2,Uma Thurman,2,False,Unknown
Gary Oldman,Unknown,3,Donya Fiorentino,4,False,Unknown
Gary Oldman,Unknown,4,Alexandra Edenborough,7,False,Unknown
Gary Oldman,Unknown,5,Gisele Schmidt,4,True,Unknown
Lena Olin,Unknown,1,Lasse Hallström,27,True,Unknown
Edward James Olmos,Unknown,1,Kaija Keel,21,False,Unknown
Edward James Olmos,Unknown,2,Lorraine Bracco,8,False,Unknown
Edward James Olmos,Unknown,3,Lymari Nadal,11,False,Unknown
Nancy Olson,Unknown,1,Alan Jay Lerner,7,False,Unknown
Nancy Olson,Unknown,2,Alan W. Livingston,47,False,Unknown
Clive Owen,Unknown,1,Sarah-Jane Fenton,26,True,Unknown
Elliot Page,Unknown,1,Emma Portner,3,False,Unknown
Chazz Palminteri,Unknown,1,Gianna Ranaudo,29,True,Unknown
Gwyneth Paltrow,Unknown,1,Chris Martin,13,False,Unknown
Gwyneth Paltrow,Unknown,2,Brad Falchuk,3,True,Unknown
Anna Paquin,Unknown,1,Stephen Moyer,11,True,Unknown
Estelle Parsons,Unknown,1,Richard Gehman,5,False,Unknown
Estelle Parsons,Unknown,2,Peter Zimroth,38,True,Unknown
Marisa Pavan,Unknown,1,Jean-Pierre Aumont,45,False,Unknown
David Paymer,Unknown,1,Liz Georges,33,True,Unknown
Sean Penn,Unknown,1,Madonna,4,False,Unknown
Sean Penn,Unknown,2,Robin Wright,14,False,Unknown
Sean Penn,Unknown,3,Leila George,1,True,Unknown
Rosie Perez,Unknown,1,Seth Zvi Rosenfeld,3,False,Unknown
Rosie Perez,Unknown,2,Eric Haze,8,True,Unknown
Joe Pesci,Unknown,1,Claudia Haro,4,False,Unknown
Michelle Pfeiffer,Unknown,1,Peter Horton,7,False,Unknown
Michelle Pfeiffer,Unknown,2,David E. Kelley,28,True,Unknown
Brad Pitt,Unknown,1,Jennifer Aniston,5,False,Unknown
Brad Pitt,Unknown,2,Angelina Jolie,5,False,Unknown
Joan Plowright,Unknown,1,Roger Gage,7,False,Unknown
Joan Plowright,Unknown,2,Laurence Olivier,28,False,Unknown
Sidney Poitier,Unknown,1,Juanita Hardy,15,False,Unknown
Sidney Poitier,Unknown,2,Joanna Shimkus,45,True,Unknown
Natalie Portman,Unknown,1,Benjamin Millepied,9,True,Unknown
Jonathan Pryce,Unknown,1,Kate Fahy,6,True,Unknown
Randy Quaid,Unknown,1,Ella Jolly,9,False,Unknown
Randy Quaid,Unknown,2,Evi Motolanez,32,True,Unknown
Charlotte Rampling,Unknown,1,Bryan Southcombe,4,False,Unknown
Charlotte Rampling,Unknown,2,Jean-Michel Jarre,20,False,Unknown
Stephen Rea,Unknown,1,Dolours Price,20,False,Unknown
Robert Redford,Unknown,1,Lola Van Wagenen,27,False,Unknown
Robert Redford,Unknown,2,Sibylle Szaggars,12,True,Unknown
Vanessa Redgrave,Unknown,1,Tony Richardson,5,False,Unknown
Vanessa Redgrave,Unknown,2,Franco Nero,15,True,Unknown
Eddie Redmayne,Unknown,1,Hannah Bagshawe,7,True,Unknown
John C. Reilly,Unknown,1,Alison Dickey,29,True,Unknown
Jeremy Renner,Unknown,1,Sonni Pacheco,1,False,Unknown
Margot Robbie,Unknown,1,Tom Ackerley,5,True,Unknown
Eric Roberts,Unknown,1,Eliza Roberts,29,True,Unknown
Julia Roberts,Unknown,1,Lyle Lovett,2,False,Unknown
Julia Roberts,Unknown,2,Daniel Moder,19,True,Unknown
Diana Ross,Unknown,1,Robert Ellis Silberstein,6,False,Unknown
Diana Ross,Unknown,2,Arne Næss Jr.,14,False,Unknown
Katharine Ross,Unknown,1,Joel Fabiani,2,False,Unknown
Katharine Ross,Unknown,2,John Marion,3,False,Unknown
Katharine Ross,Unknown,3,Conrad Hall,5,False,Unknown
Katharine Ross,Unknown,4,Gaetano Lisi,5,False,Unknown
Katharine Ross,Unknown,5,Sam Elliott,37,True,Unknown
Tim Roth,Unknown,1,Nikki Butler,28,True,Unknown
Mickey Rourke,Unknown,1,Debra Feuer,8,False,Unknown
Mickey Rourke,Unknown,2,Carré Otis,6,False,Unknown
Gena Rowlands,Unknown,1,John Cassavetes,35,False,Unknown
Gena Rowlands,Unknown,2,Robert Forrest,9,True,Unknown
Mark Ruffalo,Unknown,1,Sunrise Coigney,21,True,Unknown
Geoffrey Rush,Unknown,1,Jane Menelaus,33,True,Unknown
Amy Ryan,Unknown,1,Eric Slovin,10,True,Unknown
Mark Rylance,Unknown,1,Claire van Kampen,32,True,Unknown
Eva Marie Saint,Unknown,1,Jeffrey Hayden,65,False,Unknown
Catalina Sandino Moreno,Unknown,1,David Elwell,15,True,Unknown
Chris Sarandon,Unknown,1,Susan Sarandon,12,False,Unknown
Chris Sarandon,Unknown,2,Lisa Ann Cooper,9,False,Unknown
Chris Sarandon,Unknown,3,Joanna Gleason,27,True,Unknown
Susan Sarandon,Unknown,1,Chris Sarandon,12,False,Unknown
Diana Scarwid,Unknown,1,Eric Scheinbart,17,False,Unknown
Kristin Scott Thomas,Unknown,1,François Olivennes,18,False,Unknown
Amanda Seyfried,Unknown,1,Thomas Sadoski,4,True,Unknown
Michael Shannon,Unknown,1,Kate Arrington,3,True,Unknown
Talia Shire,Unknown,1,David Shire,10,False,Unknown
Talia Shire,Unknown,2,Jack Schwartzman,14,False,Unknown
Elisabeth Shue,Unknown,1,Davis Guggenheim,27,True,Unknown
J. K. Simmons,Unknown,1,Michelle Schumacher,25,True,Unknown
Gary Sinise,Unknown,1,Moira Harris,40,True,Unknown
Maggie Smith,Unknown,1,Robert Stephens,8,False,Unknown
Maggie Smith,Unknown,2,Beverley Cross,23,False,Unknown
Will Smith,Unknown,1,Sheree Zampino,3,False,Unknown
Will Smith,Unknown,2,Jada Pinkett,24,True,Unknown
Mira Sorvino,Unknown,1,Christopher Backus,17,True,Unknown
Sissy Spacek,Unknown,1,Jack Fisk,47,True,Unknown
June Squibb,Unknown,1,Edward Sostek,6,False,Unknown
June Squibb,Unknown,2,Charles Kakatsakis,40,False,Unknown
Sylvester Stallone,Unknown,1,Sasha Czack,11,False,Unknown
Sylvester Stallone,Unknown,2,Brigitte Nielsen,2,False,Unknown
Sylvester Stallone,Unknown,3,Jennifer Flavin,24,True,Unknown
Terence Stamp,Unknown,1,Elizabeth O'Rourke,6,False,Unknown
Imelda Staunton,Unknown,1,Jim Carter,38,True,Unknown
Mary Steenburgen,Unknown,1,Malcolm McDowell,10,False,Unknown
Mary Steenburgen,Unknown,2,Ted Danson,26,True,Unknown
Dean Stockwell,Unknown,1,Millie Perkins,2,False,Unknown
Dean Stockwell,Unknown,2,Joy Marchenko,23,False,Unknown
Emma Stone,Unknown,1,Dave McCary,1,True,Unknown
Sharon Stone,Unknown,1,Michael Greenburg,6,False,Unknown
Sharon Stone,Unknown,2,Phil Bronstein,6,False,Unknown
David Strathairn,Unknown,1,Logan Goodman,41,True,Unknown
Meryl Streep,Unknown,1,Don Gummer,43,True,Unknown
Barbra Streisand,Unknown,1,Elliott Gould,8,False,Unknown
Barbra Streisand,Unknown,2,James Brolin,23,True,Unknown
Janet Suzman,Unknown,1,Trevor Nunn,17,False,Unknown
Hilary Swank,Unknown,1,Chad Lowe,10,False,Unknown
Hilary Swank,Unknown,2,Philip Schneider,3,True,Unknown
Russ Tamblyn,Unknown,1,Venetia Stevenson,1,False,Unknown
Russ Tamblyn,Unknown,2,Elizabeth Kempton,19,False,Unknown
Russ Tamblyn,Unknown,3,Bonnie Murray,40,True,Unknown
Emma Thompson,Unknown,1,Kenneth Branagh,6,False,Unknown
Emma Thompson,Unknown,2,Greg Wise,18,True,Unknown
Billy Bob Thornton,Unknown,1,Melissa Lee Gatlin,2,False,Unknown
Billy Bob Thornton,Unknown,2,Toni Lawrence,2,False,Unknown
Billy Bob Thornton,Unknown,3,Cynda Williams,2,False,Unknown
Billy Bob Thornton,Unknown,4,Pietra Dawn Cherniak,4,False,Unknown
Billy Bob Thornton,Unknown,5,Angelina Jolie,3,False,Unknown
Billy Bob Thornton,Unknown,6,Connie Angland,7,True,Unknown
Uma Thurman,Unknown,1,Gary Oldman,2,False,Unknown
Uma Thurman,Unknown,2,Ethan Hawke,7,False,Unknown
Jennifer Tilly,Unknown,1,Sam Simon,7,False,Unknown
Meg Tilly,Unknown,1,Tim Zinnemann,6,False,Unknown
Meg Tilly,Unknown,2,John Calley,7,False,Unknown
Meg Tilly,Unknown,3,Don Calame,19,True,Unknown
Lily Tomlin,Unknown,1,Jane Wagner,8,True,Unknown
John Travolta,Unknown,1,Kelly Preston,29,False,Unknown
Stanley Tucci,Unknown,1,Kathryn Spath-Tucci,14,False,Unknown
Stanley Tucci,Unknown,2,Felicity Blunt,9,True,Unknown
Kathleen Turner,Unknown,1,Jay Weiss,23,False,Unknown
Brenda Vaccaro,Unknown,1,Martin Fried,5,False,Unknown
Brenda Vaccaro,Unknown,2,William Bishop,1,False,Unknown
Brenda Vaccaro,Unknown,3,Charles Cannizzaro,1,False,Unknown
Brenda Vaccaro,Unknown,4,Guy Hector,35,True,Unknown
Alicia Vikander,Unknown,1,Michael Fassbender,4,True,Unknown
Jon Voight,Unknown,1,Lauri Peters,5,False,Unknown
Jon Voight,Unknown,2,Marcheline Bertrand,9,False,Unknown
Mark Wahlberg,Unknown,1,Rhea Durham,12,True,Unknown
Christopher Walken,Unknown,1,Georgianne Thon,52,True,Unknown
Julie Walters,Unknown,1,Grant Roffey,24,True,Unknown
Lesley Ann Warren,Unknown,1,Jon Peters,8,False,Unknown
Lesley Ann Warren,Unknown,2,Ron Taft,21,True,Unknown
Denzel Washington,Unknown,1,Pauletta Pearson,38,True,Unknown
Ken Watanabe,Unknown,1,Yumiko Watanabe,22,False,Unknown
Ken Watanabe,Unknown,2,Kaho Minami,13,False,Unknown
Sam Waterston,Unknown,1,Barbara Rutledge Johns,11,False,Unknown
Sam Waterston,Unknown,2,Lynn Louisa Woodruff,45,True,Unknown
Emily Watson,Unknown,1,Jack Waters,26,True,Unknown
Sigourney Weaver,Unknown,1,Jim Simpson,37,True,Unknown
